session_id,segment_id,window_start_s,window_end_s,baseline_mm,baseline_source,depth_mm,label_pushup,tof_mm_mean,tof_mm_std,tof_mm_min,tof_mm_max,tof_mm_range,ax_mean,ax_std,ax_min,ax_max,ax_range,ay_mean,ay_std,ay_min,ay_max,ay_range,az_mean,az_std,az_min,az_max,az_range,gx_mean,gx_std,gx_min,gx_max,gx_range,gy_mean,gy_std,gy_min,gy_max,gy_range,gz_mean,gz_std,gz_min,gz_max,gz_range,a_mag_mean,a_mag_std,a_mag_min,a_mag_max,a_mag_range,g_mag_mean,g_mag_std,g_mag_min,g_mag_max,g_mag_range,tof_mm_diff_mean,tof_mm_diff_std,tof_mm_diff_min,tof_mm_diff_max,tof_mm_diff_range,a_mag_diff_mean,a_mag_diff_std,a_mag_diff_min,a_mag_diff_max,a_mag_diff_range,g_mag_diff_mean,g_mag_diff_std,g_mag_diff_min,g_mag_diff_max,g_mag_diff_range
session1,0,0.0,2.0,441.0,p90,16.0,0,440.15,9.238341000658314,425.0,459.3333333333333,34.333333333333314,-0.33549500000000004,0.04010556663357345,-0.3781,-0.2632333333333333,0.11486666666666667,0.018442499999999994,0.0670932169685911,-0.08315,0.12175,0.2049,-0.9135249999999997,0.029725495743926997,-0.96965,-0.8564,0.11324999999999996,4.3167,5.072920575398905,-7.7108,12.166333333333334,19.877133333333333,0.6240900000000001,12.6289074738028,-24.78023333333333,20.3247,45.104933333333335,-3.5613949999999996,5.027833602499136,-13.8346,5.5542,19.3888,0.9764932162934136,0.02965647188408363,0.9093935433390028,1.0265190926134788,0.11712554927447605,13.934439186348635,6.931180563704415,5.471929497901083,29.83323522765992,24.361305729758836,1.7166666666666657,2.460860283180126,-2.3333333333333712,8.166666666666686,10.500000000000057,-0.0006230968925999703,0.021494547887658182,-0.038669423456745,0.0514305212374511,0.0900999446941961,0.17440417668938374,5.6263468538506025,-13.747572312731323,12.812969619672826,26.56054193240415
session1,0,0.5,2.5,441.0,p90,7.0,0,449.225,10.46930367524242,434.0,468.0,34.0,-0.3339466666666666,0.04270597199976187,-0.3993,-0.2632333333333333,0.13606666666666667,0.03776166666666665,0.049035418633428154,-0.0253499999999999,0.12175,0.1470999999999999,-0.9002758333333334,0.03691776991391363,-0.96965,-0.8335,0.13615,2.4739591666666674,6.122897686729061,-8.992466666666667,12.166333333333334,21.1588,-0.20547916666666605,13.494063470749188,-24.78023333333333,20.3247,45.104933333333335,-2.6952008333333337,5.75408212260236,-13.8346,5.6559333333333335,19.49053333333333,0.9632897402770357,0.03327109960112352,0.9093935433390028,1.0265190926134788,0.11712554927447605,15.129524274004936,6.1002774140997875,7.356159136774813,29.83323522765992,22.477076090885106,1.4,3.183027908559193,-6.0,8.166666666666686,14.166666666666686,-0.0013908650263511598,0.022529169131533085,-0.038669423456745,0.0514305212374511,0.0900999446941961,0.36505094401364824,6.017117330279506,-13.747572312731323,12.812969619672826,26.56054193240415
session1,0,1.0,3.0,441.0,p90,1.6666666666666856,0,452.6166666666666,8.78494608849581,439.3333333333333,468.0,28.666666666666686,-0.325565,0.04563013286195866,-0.3993,-0.2424,0.15689999999999998,0.0524083333333333,0.03909533664290694,-0.01885,0.12175,0.1406,-0.9072308333333334,0.03569299778629167,-0.96965,-0.8335,0.13615,1.0671058333333332,5.492898447981809,-8.992466666666667,12.166333333333334,21.1588,-4.706318333333334,12.334851696642481,-24.78023333333333,20.3247,45.104933333333335,-1.7379725000000001,5.596969878912347,-13.8346,5.6559333333333335,19.49053333333333,0.9673770439814972,0.029549734673724785,0.9137746056878578,1.0265190926134788,0.112744486925621,14.03701345464751,6.551146492215041,6.581188539694026,29.83323522765992,23.252046687965894,0.46666666666666573,3.365511352924947,-6.0,8.166666666666686,14.166666666666686,0.00037087599609259524,0.01802555234924187,-0.038669423456745,0.0217292688142802,0.06039869227102519,-0.008962136319182346,5.845354072332399,-13.747572312731323,12.812969619672826,26.56054193240415
session1,0,1.5,3.5,441.0,p90,-4.333333333333314,0,454.2,6.984625974237989,445.3333333333333,468.0,22.666666666666686,-0.2883225,0.05637485606658148,-0.3993,-0.2020333333333333,0.1972666666666667,0.04045499999999998,0.038851563353358105,-0.01885,0.12175,0.1406,-0.91547,0.041702857149653945,-0.9842,-0.8335,0.15069999999999995,-1.1108225,3.949763422884671,-8.992466666666667,5.0456,14.038066666666667,-1.6662649999999999,9.744979296163942,-15.502949999999998,20.3247,35.82765,1.1077824999999997,2.620102626358762,-4.598,5.6559333333333335,10.253933333333332,0.9636439503731277,0.025861660938450545,0.9137746056878578,1.0116243664962252,0.09784976080836738,10.11541637644472,4.51066398962116,2.8961696000445523,21.35523375498381,18.45906415493926,0.125,3.198469686167648,-6.0,8.166666666666686,14.166666666666686,-0.0022842998303355296,0.020190249424668856,-0.038669423456745,0.0217292688142802,0.06039869227102519,-0.5312138970468375,3.7734230765038195,-7.710068332062443,8.610192544260524,16.32026087632297
session1,0,2.0,4.0,441.0,p90,-2.0,0,452.3,7.7946919260623915,443.0,468.0,25.0,-0.26259749999999993,0.060040802393733335,-0.3993,-0.2012,0.1981,0.02567083333333332,0.025783704950457002,-0.01885,0.0751666666666666,0.09401666666666661,-0.9275025000000003,0.04436666894408958,-0.9842,-0.8335,0.15069999999999995,-0.5625191666666667,3.137251222254192,-8.992466666666667,5.0456,14.038066666666667,-4.8980725,5.170357205350933,-15.502949999999998,4.39455,19.897499999999997,0.7227533333333335,2.0322978500715774,-1.98365,5.6559333333333335,7.639583333333333,0.967159592940728,0.026790794790441587,0.9137746056878578,1.0116243664962252,0.09784976080836738,6.8257702610758955,4.352464608224316,0.9887988976531072,15.966351681035338,14.977552783382231,-0.8166666666666658,2.173003553711879,-6.0,3.5,9.5,-0.0005012436954865947,0.018834194193725316,-0.0328979050041976,0.0223185749782327,0.0552164799824303,-0.4008774571136353,2.8480527880774646,-4.160215559553582,8.610192544260524,12.770408103814106
session1,0,2.5,4.5,441.0,p90,-2.0,0,447.1,4.094508517514647,443.0,458.0,15.0,-0.22623583333333327,0.03059898204325323,-0.2888,-0.20015,0.08865,0.02985583333333331,0.02242233340704455,-0.0135666666666666,0.0751666666666666,0.0887333333333332,-0.9514916666666666,0.025909698688157505,-0.9842,-0.8949,0.08929999999999993,0.28026333333333336,2.049669896468426,-4.089333333333333,5.0456,9.134933333333333,-3.217060833333335,3.8615712370681554,-10.538766666666668,0.7324333333333334,11.2712,0.08595333333333341,1.389863737461738,-1.98365,3.4383,5.42195,0.9793506430021848,0.01982685247297557,0.9414433800169704,1.0116243664962252,0.07018098647925486,4.329639568945004,3.568506330674975,0.3756884938941362,10.875240812455091,10.499552318560955,-0.775,1.112148820976764,-4.0,0.3333333333333712,4.333333333333371,0.0018890679575141896,0.016586681247952408,-0.0304476991727506,0.0223185749782327,0.0527662741509833,-0.6390536557261232,1.797016170257486,-4.160215559553582,2.500961583636519,6.661177143190101
session1,0,3.0,5.0,441.0,p90,-2.0,0,444.9,1.9259918079899643,443.0,449.6666666666667,6.666666666666686,-0.20835999999999993,0.007816329772413078,-0.2279666666666666,-0.20015,0.0278166666666666,0.02524499999999998,0.019343001964534857,-0.0135666666666666,0.0751666666666666,0.0887333333333332,-0.9631399999999999,0.015701978290082474,-0.9842,-0.9337,0.05049999999999999,0.334175,1.9319165697673555,-4.089333333333333,4.435233333333334,8.524566666666667,-0.5752549999999998,2.5070153900831738,-6.510433333333333,2.5940000000000003,9.104433333333333,0.112905,1.550986815431281,-2.8890333333333333,3.4383,6.327333333333334,0.9859583550274816,0.01605553595603304,0.957508397410232,1.0116243664962252,0.054115969085993254,2.936016823508994,2.0635241450112427,0.3756884938941362,7.700007388885344,7.324318894991207,-0.33333333333333426,0.8660254037844453,-1.5,2.0,3.5,0.0007122070773321546,0.016845719496376883,-0.0304476991727506,0.0223185749782327,0.0527662741509833,-0.39766291071421217,1.497569674861055,-3.991666981083912,3.090622714301692,7.0822896953856045
session1,0,3.5,5.5,441.0,p90,-2.0,0,444.2166666666667,0.9959640778885783,443.0,446.0,3.0,-0.20693333333333327,0.004613425456690979,-0.2155666666666666,-0.20015,0.015416666666666606,0.026484999999999974,0.009275593571902071,0.0096333333333333,0.0460999999999999,0.0364666666666666,-0.9620066666666665,0.014430404244741927,-0.9829333333333332,-0.9337,0.04923333333333324,0.8875608333333332,1.3664180166108577,-1.2817333333333334,4.435233333333334,5.716966666666667,0.5355883333333334,1.3106469404256902,-2.8076333333333334,2.5940000000000003,5.401633333333334,-0.2548308333333334,1.0722505479166886,-2.8890333333333333,1.4648,4.353833333333333,0.9844243288550161,0.0142822979988953,0.957508397410232,1.0044725431787571,0.046964145768525145,2.0480157415552886,1.2960726089624965,0.2479308825055886,5.46588052670585,5.217949644200261,-0.08333333333333429,0.9567015092377508,-2.0,2.0,4.0,0.0007063833240160246,0.013814981586885372,-0.0228222936248124,0.0223185749782327,0.0451408686030451,-0.07268595310023414,1.2936412085719908,-1.7997120028271685,3.090622714301692,4.8903347171288605
session1,0,4.0,6.0,441.0,p90,-0.3333333333333144,0,443.625,1.4022551281576565,441.3333333333333,446.0,4.666666666666686,-0.20607999999999996,0.005982215773068991,-0.2178333333333333,-0.1948,0.023033333333333295,0.02895916666666663,0.008845043299623935,0.0096333333333333,0.0460999999999999,0.0364666666666666,-0.9624824999999998,0.012696496099099308,-0.9853,-0.937,0.0482999999999999,0.7044566666666667,1.6673495828659726,-3.092433333333333,4.435233333333334,7.527666666666667,-0.11749749999999999,1.8358969086682506,-3.5400666666666667,2.5940000000000003,6.1340666666666674,-0.3107858333333333,1.070077491862609,-2.8890333333333333,1.4648,4.353833333333333,0.9847837127871492,0.012506969223514356,0.9590621935573892,1.00465990887464,0.045597715317250764,2.488524078222272,1.3074932249759421,0.2479308825055886,5.46588052670585,5.217949644200261,-0.075,1.019906041424082,-2.1666666666666856,2.0,4.166666666666686,0.0023575755732203945,0.01238182877642337,-0.0179676330629229,0.0194373942476786,0.037405027310601496,0.092532163338203,1.2301612188190891,-1.7938476013360352,3.090622714301692,4.884470315637728
session1,0,4.5,6.5,441.0,p90,2.0,0,442.825,2.1327310347689568,439.0,446.0,7.0,-0.20221749999999994,0.010279993346031129,-0.2178333333333333,-0.1776666666666666,0.040166666666666684,0.023987499999999974,0.012094347709892319,-0.008,0.0460999999999999,0.0540999999999999,-0.9634824999999999,0.010983012735583969,-0.9853,-0.9451666666666668,0.04013333333333313,0.2334649999999999,1.8065349363329974,-3.092433333333333,4.435233333333334,7.527666666666667,-0.5279674999999999,1.9520168465338825,-3.5400666666666667,2.5940000000000003,6.1340666666666674,0.04728999999999999,1.2008855465447152,-2.8890333333333333,1.8310666666666664,4.7200999999999995,0.9849013256389949,0.010382779096790366,0.9668985348353089,1.00465990887464,0.03776137403933111,2.7288712833445024,1.1852500966305517,0.2479308825055886,5.46588052670585,5.217949644200261,-0.175,1.0909666967113798,-2.1666666666666856,2.0,4.166666666666686,-0.0009507000807146702,0.011683679190569363,-0.0179676330629229,0.0194373942476786,0.037405027310601496,0.002487735488998555,1.2190661116729928,-1.7938476013360352,3.090622714301692,4.884470315637728
