t_s,host_ts,device_ts_s,tof_mm,ax,ay,az,gx,gy,gz,dt_s,segment_id,session_id,a_mag,g_mag,tof_mm_diff,a_mag_diff,g_mag_diff
0.0,2026-02-13T01:44:01.489133,180.271,425.0,-0.3641,-0.0768,-0.9066,2.1362,-5.3101,-0.9155,,0,session1,0.9799952091719633,5.79643448164473,0.0,0.0,0.0
0.1,2026-02-13T01:44:01.589133,180.3455,426.5,-0.3524,-0.08315,-0.90325,3.5095,-3.9673,-1.3733,,0,session1,0.9731188236798217,5.471929497901083,1.5,-0.006876385492141535,-0.32450498374364667
0.2,2026-02-13T01:44:01.689133,180.495,427.5,-0.35819999999999996,-0.07569999999999999,-0.9284,5.767799999999999,-3.57055,-1.43435,,0,session1,0.997980105012119,6.933520322678804,1.0,0.024861281332297258,1.461590824777721
0.30000000000000004,2026-02-13T01:44:01.789133,180.62,429.0,-0.3606,-0.0532,-0.939,6.673166666666667,-2.6855333333333338,-1.3021,,0,session1,1.007265406931063,7.310178318998488,1.5,0.009285301918943945,0.37665799631968344
0.4,2026-02-13T01:44:01.889133,180.67,431.0,-0.34550000000000003,-0.0445,-0.9211,6.693533333333333,-0.8544666666666667,-1.5666,,0,session1,0.9847719076009429,6.927318191687811,2.0,-0.022493499330120015,-0.38286012731067665
0.5,2026-02-13T01:44:01.989133,180.79500000000002,434.0,-0.28985,-0.025349999999999998,-0.92445,7.8125,10.3455,-2.68555,,0,session1,0.9691560490963259,13.239210901806045,3.0,-0.015615858504616997,6.311892710118234
0.6000000000000001,2026-02-13T01:44:02.089133,180.92000000000002,438.0,-0.2632333333333333,-0.019933333333333334,-0.9057333333333333,6.795233333333332,15.686066666666669,-5.594866666666666,,0,session1,0.9434203711319077,17.986951285399464,4.0,-0.025735677964418224,4.747740383593419
0.7000000000000001,2026-02-13T01:44:02.189133,180.97,441.0,-0.2771666666666667,-0.024966666666666665,-0.8657666666666667,4.679366666666666,11.657733333333335,-7.649733333333333,,0,session1,0.9093935433390028,14.70774078311599,3.0,-0.03402682779290489,-3.2792105022834743
0.8,2026-02-13T01:44:02.289133,181.095,442.5,-0.33635000000000004,-0.0184,-0.8564,7.87355,7.6599,-5.5542,,0,session1,0.9202667235644241,12.309183370658673,1.5,0.010873180225421275,-2.3985574124573166
0.9,2026-02-13T01:44:02.389133,181.22,441.6666666666667,-0.3781,0.02623333333333333,-0.8947333333333334,10.091133333333334,1.078266666666667,-1.77,,0,session1,0.9716972448018752,10.30177319472505,-0.8333333333333144,0.05143052123745118,-2.0074101759336234
