session_id,segment_id,rep_index,t_s,tof_mm,depth_mm,baseline_mm
session1,0,0,12.7,81.16666666666667,359.8333333333333,441.0
session1,0,1,14.4,63.833333333333336,377.1666666666667,441.0
session1,0,2,15.2,65.94444444444444,375.05555555555554,441.0
session1,0,3,15.9,49.0,392.0,441.0
session1,0,4,16.7,64.55555555555556,376.44444444444446,441.0
session1,0,5,17.5,42.666666666666664,398.3333333333333,441.0
session1,0,6,18.1,60.166666666666664,380.8333333333333,441.0
session1,0,7,19.0,36.166666666666664,404.8333333333333,441.0
session1,0,8,19.8,77.83333333333333,363.1666666666667,441.0
session1,0,9,20.5,35.5,405.5,441.0
session1,0,10,21.3,75.66666666666667,365.3333333333333,441.0
session1,0,11,22.8,73.5,367.5,441.0
session1,0,12,24.3,85.83333333333333,355.1666666666667,441.0
session1,0,13,25.1,50.05555555555555,390.94444444444446,441.0
session1,0,14,26.0,83.55555555555556,357.44444444444446,441.0
session1,0,15,26.6,46.44444444444445,394.55555555555554,441.0
session1,0,16,27.3,78.5,362.5,441.0
session1,0,17,28.1,45.61111111111111,395.3888888888889,441.0
session1,0,18,29.6,43.555555555555564,397.44444444444446,441.0
session1,0,19,30.200000000000003,83.72222222222221,357.27777777777777,441.0
session1,0,20,31.200000000000003,41.16666666666667,399.8333333333333,441.0
session1,0,21,31.9,76.33333333333333,364.6666666666667,441.0
session1,0,22,32.800000000000004,42.16666666666667,398.8333333333333,441.0
session1,0,23,34.300000000000004,51.50000000000001,389.5,441.0
session1,0,24,35.0,75.22222222222223,365.77777777777777,441.0
session1,0,25,35.800000000000004,47.83333333333334,393.16666666666663,441.0
session1,0,26,36.5,75.55555555555556,365.44444444444446,441.0
session1,0,27,37.4,43.27777777777779,397.72222222222223,441.0
session1,0,28,38.1,80.5,360.5,441.0
session1,0,29,39.0,45.16666666666668,395.8333333333333,441.0
session1,0,30,39.7,70.66666666666667,370.3333333333333,441.0
session1,0,31,40.400000000000006,62.38888888888889,378.6111111111111,441.0
session1,0,32,41.1,76.66666666666669,364.3333333333333,441.0
session1,0,33,41.900000000000006,41.83333333333335,399.16666666666663,441.0
session1,0,34,42.900000000000006,72.33333333333336,368.66666666666663,441.0
session1,0,35,44.400000000000006,76.33333333333336,364.66666666666663,441.0
session1,0,36,45.5,83.50000000000001,357.5,441.0
session1,0,37,46.6,83.0,358.0,441.0
session1,0,38,48.0,85.66666666666667,355.3333333333333,441.0
session1,0,39,48.900000000000006,90.50000000000001,350.5,441.0
session1,0,40,50.1,89.50000000000001,351.5,441.0
