host_ts,device_ts_s,tof_mm,ax,ay,az,gx,gy,gz
2026-03-23T20:52:56.922947,152.396,224.00,-0.2432,-0.0702,-1.0282,4.2114,15.2588,-5.5542
2026-03-23T20:52:56.971291,152.495,172.00,-0.2822,0.2039,-1.2094,3.6011,11.7187,-6.6528
2026-03-23T20:52:57.069398,152.595,117.00,-0.2394,0.0574,-1.4575,2.8076,-7.9956,-3.1738
2026-03-23T20:52:57.169376,152.695,100.00,-0.2070,-0.0425,-1.1967,-6.4697,-21.7285,6.3477
2026-03-23T20:52:57.269447,152.795,119.00,-0.0627,-0.0060,-1.1022,-2.6855,-32.8979,4.2114
2026-03-23T20:52:57.369221,152.895,175.00,0.0063,-0.0042,-0.9385,0.0610,-36.4990,3.2349
2026-03-23T20:52:57.469377,152.995,230.00,0.1659,-0.1989,-0.8251,-20.1416,-22.5220,7.8735
2026-03-23T20:52:57.569369,153.095,287.00,-0.0570,0.0273,-0.1063,0.3052,0.4272,-2.1973
2026-03-23T20:52:57.669499,153.195,314.00,0.1366,-0.0300,-0.8462,2.8076,44.9829,-4.8218
2026-03-23T20:52:57.769552,153.295,264.00,-0.0177,-0.0006,-1.0598,11.0474,54.1992,0.6714
2026-03-23T20:52:57.869362,153.395,204.00,-0.2821,-0.0210,-1.0930,1.2817,30.3955,2.2583
2026-03-23T20:52:57.969831,153.495,156.00,-0.3289,-0.0549,-1.2177,-5.8594,22.8882,-3.5400
2026-03-23T20:52:58.069584,153.595,106.00,-0.2852,-0.1016,-1.5017,-6.5308,-1.3428,-4.2114
2026-03-23T20:52:58.169686,153.695,92.00,-0.3053,-0.0426,-1.2540,-10.3149,-36.3770,-0.1831
2026-03-23T20:52:58.269329,153.795,132.00,-0.1335,0.1188,-1.0175,8.7280,-43.5181,4.2725
2026-03-23T20:52:58.369379,153.895,195.00,0.1215,-0.1974,-0.8531,-23.3154,-56.7627,7.5073
2026-03-23T20:52:58.469156,153.995,265.00,-0.1669,0.1254,0.0463,-3.1128,7.9346,5.4932
2026-03-23T20:52:58.569198,154.095,300.00,-0.0276,-0.0326,-0.7797,16.8457,53.4058,-6.3477
2026-03-23T20:52:58.669342,154.195,253.00,-0.0469,0.0758,-1.0359,14.2212,52.1240,-6.8970
2026-03-23T20:52:58.769389,154.295,185.00,-0.2814,0.2029,-1.1588,6.0425,17.8223,-4.2114
2026-03-23T20:52:58.869409,154.395,130.00,-0.3059,-0.2495,-1.1842,-16.5405,4.8828,-5.3101
2026-03-23T20:52:58.969367,154.495,93.00,-0.1863,0.0753,-1.5377,-1.4038,-25.0244,-3.4790
2026-03-23T20:52:59.069340,154.595,101.00,-0.1874,0.0392,-1.1864,-1.2817,-36.8042,7.2632
2026-03-23T20:52:59.169372,154.695,149.00,-0.0709,-0.0409,-0.9176,2.3804,-37.1094,7.6294
2026-03-23T20:52:59.269361,154.795,215.00,0.1250,-0.0999,-0.6565,-16.7236,-21.6675,6.8970
2026-03-23T20:52:59.369168,154.895,273.00,0.0391,-0.0581,-0.0968,-5.0049,4.6997,6.4697
2026-03-23T20:52:59.469264,154.995,271.00,0.0144,-0.0171,-0.9517,-2.4414,37.7808,2.2583
2026-03-23T20:52:59.569347,155.095,211.00,-0.1898,-0.1222,-0.9678,-8.8501,38.7573,-1.4038
2026-03-23T20:52:59.669357,155.195,150.00,-0.1721,-0.2582,-1.0198,-22.8882,36.6211,-1.7090
2026-03-23T20:52:59.769316,155.295,92.00,-0.2051,-0.0906,-1.7590,5.5542,-2.6855,-9.7656
2026-03-23T20:52:59.869308,155.395,69.00,-0.2858,-0.0182,-1.3187,0.4883,-41.6260,2.1362
2026-03-23T20:52:59.969351,155.495,124.00,-0.1532,-0.0482,-0.9620,4.8828,-39.7339,8.9111
2026-03-23T20:53:00.069228,155.595,189.00,0.0394,-0.1060,-1.0513,-13.7329,-40.4053,4.3335
2026-03-23T20:53:00.169141,155.695,250.00,-0.1416,0.1451,-0.0138,-0.9155,6.4697,-10.6812
2026-03-23T20:53:00.269397,155.795,279.00,0.0643,-0.0276,-0.6245,-0.8545,35.4004,-1.7090
2026-03-23T20:53:00.369306,155.895,230.00,0.0498,-0.0114,-1.0085,15.7471,42.4194,-0.0610
2026-03-23T20:53:00.469186,155.995,165.00,-0.2009,0.2567,-1.2411,22.6440,27.0996,-7.8735
2026-03-23T20:53:00.569336,156.095,111.00,-0.3037,-0.1965,-1.2318,-4.6997,20.5688,-7.6904
