host_ts,device_ts_ms,event,value,state
2026-02-13T22:52:49.269575,167862,START_CMD,,ARMING
2026-02-13T22:52:49.312676,167862,ARMING_START,,ARMING
2026-02-13T22:52:51.255732,169876,HOLD_STILL_SPAN_MM,140.75,ARMING
2026-02-13T22:52:53.392818,171976,BASELINE_LOCKED_MM,427.08,ARMING
2026-02-13T22:52:53.420997,171977,COUNTDOWN_START,,COUNTDOWN
2026-02-13T22:52:58.455081,177076,RECORDING_START,,RECORDING
2026-02-13T22:53:22.393118,200984,STOP_CMD,,RECORDING
2026-02-13T22:53:22.488114,201081,END_HOLD_START,,END_HOLD
2026-02-13T22:53:27.654924,206276,SESSION_STOPPED_TIMEOUT_SPAN_MM,36.64,END_HOLD
