host_ts,device_ts_ms,event,value,state
2026-03-23T20:33:45.583736,353419,START_CMD,,ARMING
2026-03-23T20:33:45.632325,353419,ARMING_START,,ARMING
2026-03-23T20:33:47.596540,355433,BASELINE_LOCKED_MM,495.49,ARMING
2026-03-23T20:33:47.639273,355434,COUNTDOWN_START,,COUNTDOWN
2026-03-23T20:33:52.695817,360533,RECORDING_START,,RECORDING
2026-03-23T20:34:34.836253,402645,STOP_CMD,,RECORDING
2026-03-23T20:34:34.932628,402739,END_HOLD_START,,END_HOLD
2026-03-23T20:34:40.095502,407933,SESSION_STOPPED_TIMEOUT_SPAN_MM,30.18,END_HOLD
