host_ts,device_ts_s,tof_mm,ax,ay,az,gx,gy,gz
2026-03-23T20:33:52.883161,360.634,500.00,0.5509,-0.0499,-0.8334,-2.0142,1.8921,-1.3428
2026-03-23T20:33:52.933747,360.733,498.00,0.5319,-0.0692,-0.8224,-0.0610,0.9766,0.3662
2026-03-23T20:33:53.001300,360.833,497.00,0.5637,-0.0450,-0.8158,0.2441,-0.5493,0.1221
2026-03-23T20:33:53.101376,360.933,497.00,0.5596,-0.0509,-0.8181,0.3662,-1.3428,-0.2441
2026-03-23T20:33:53.201473,361.033,502.00,0.5612,-0.0524,-0.8237,0.9766,0.1831,1.0986
2026-03-23T20:33:53.301700,361.133,499.00,0.5381,-0.0645,-0.7919,-0.7324,2.8687,0.3052
2026-03-23T20:33:53.401562,361.233,497.00,0.4753,-0.0911,-0.6997,-0.3052,14.2212,0.5493
2026-03-23T20:33:53.501608,361.333,483.00,0.4463,-0.0713,-0.6335,6.3477,30.5786,4.8828
2026-03-23T20:33:53.601661,361.433,446.00,0.4490,-0.0763,-0.7577,2.1973,34.3628,-4.4556
2026-03-23T20:33:53.701418,361.533,394.00,0.4005,-0.0488,-0.8298,11.5356,35.6445,-2.0752
2026-03-23T20:33:53.801559,361.633,338.00,0.3938,-0.1003,-0.9694,-4.5166,45.4102,-14.9536
2026-03-23T20:33:53.901583,361.733,285.00,0.2686,0.0369,-1.0714,-13.0615,22.0947,-6.2256
2026-03-23T20:33:54.001262,361.833,230.00,0.2747,0.0138,-0.9624,-3.6011,32.1655,1.0986
2026-03-23T20:33:54.101417,361.933,186.00,0.2323,0.0205,-1.1039,4.3945,10.6201,-3.1128
2026-03-23T20:33:54.201398,362.033,153.00,0.2134,-0.2467,-1.0616,-1.7090,2.3804,1.0376
2026-03-23T20:33:54.301375,362.133,119.00,0.3101,0.0486,-1.2633,4.0894,-2.4414,2.0752
2026-03-23T20:33:54.401438,362.233,112.00,0.2926,-0.1279,-1.2527,6.4697,-14.8926,6.4697
2026-03-23T20:33:54.501648,362.333,123.00,0.2457,-0.0522,-1.1332,8.7280,-8.8501,5.5542
2026-03-23T20:33:54.601440,362.433,173.00,0.2563,-0.0917,-0.9949,3.9062,-12.9395,6.4087
2026-03-23T20:33:54.701638,362.533,226.00,0.2695,-0.0679,-0.8639,-2.2583,-12.6953,0.3662
2026-03-23T20:33:54.801551,362.633,280.00,0.3356,0.0189,-0.9314,-13.1226,-25.5127,-2.4414
2026-03-23T20:33:54.901457,362.733,329.00,0.2334,0.0582,-0.3932,2.0142,3.2349,-7.0190
2026-03-23T20:33:55.001488,362.833,352.00,0.2966,-0.0327,-0.5914,5.5542,13.6719,5.0659
2026-03-23T20:33:55.101459,362.933,322.00,0.2677,-0.0127,-0.7275,13.3667,18.8599,-2.9297
2026-03-23T20:33:55.201595,363.033,277.00,0.2373,-0.1163,-1.0828,3.9673,-2.0142,-1.0376
2026-03-23T20:33:55.301494,363.133,225.00,0.2081,-0.1361,-1.0084,-15.3809,24.8413,-0.9766
2026-03-23T20:33:55.401412,363.233,168.00,0.1978,0.0100,-0.9635,-13.3667,22.8882,5.7373
2026-03-23T20:33:55.501511,363.333,129.00,0.2124,-0.0651,-1.1008,5.1880,-0.2441,3.7842
2026-03-23T20:33:55.601606,363.433,104.00,0.2097,-0.0928,-1.2159,2.9297,-4.5166,-0.0610
2026-03-23T20:33:55.701555,363.533,83.00,0.3094,-0.0175,-1.2592,1.8311,-14.2822,-4.4556
2026-03-23T20:33:55.801535,363.633,99.00,0.2439,-0.0563,-1.1803,4.1504,-11.8408,0.3662
2026-03-23T20:33:55.901477,363.733,139.00,0.2330,-0.0710,-1.0167,1.5259,-6.9580,0.3662
2026-03-23T20:33:56.001583,363.833,196.00,0.2296,-0.1384,-0.9208,-7.2632,-13.0005,0.1831
2026-03-23T20:33:56.101692,363.933,253.00,0.3231,-0.0160,-0.9309,-5.4321,-13.9160,-1.3428
