host_ts,device_ts_s,tof_mm,ax,ay,az,gx,gy,gz
2026-02-13T22:52:58.613874,177.177,416.00,-0.1593,0.1426,-0.9674,0.7935,1.2207,-0.1831
2026-02-13T22:52:58.663600,177.276,414.00,-0.1514,0.1682,-0.9453,0.1221,-2.2583,-2.1362
2026-02-13T22:52:58.760675,177.376,415.00,-0.1599,0.1672,-0.9692,0.3662,-6.5308,-3.1128
2026-02-13T22:52:58.860737,177.476,417.00,-0.1211,0.1063,-0.9360,-0.0610,-6.4697,-2.6245
2026-02-13T22:52:58.960710,177.576,413.00,-0.1287,0.1415,-0.9752,3.6011,-10.9863,-2.9297
2026-02-13T22:52:59.061042,177.676,412.00,-0.0779,0.1255,-0.9260,-4.2114,5.3711,5.1880
2026-02-13T22:52:59.160665,177.776,409.00,-0.0461,0.0577,-0.7598,-6.1646,21.1182,6.4697
2026-02-13T22:52:59.261185,177.876,391.00,-0.0692,0.0603,-0.7803,-3.6011,9.7656,1.4038
2026-02-13T22:52:59.360778,177.976,352.00,-0.1136,0.1398,-0.9144,-7.3853,14.7095,-0.1831
2026-02-13T22:52:59.461327,178.076,310.00,-0.1991,-0.0032,-0.9460,-6.2256,-1.5259,-5.7373
2026-02-13T22:52:59.560708,178.176,247.00,-0.1816,0.1050,-0.9968,-10.8032,17.3950,7.5684
2026-02-13T22:52:59.661391,178.276,197.00,-0.2844,0.1991,-1.1927,-0.2441,-13.2446,2.5024
2026-02-13T22:52:59.760855,178.376,154.00,-0.2083,0.1031,-1.0154,15.3809,21.7285,-12.9395
2026-02-13T22:52:59.861027,178.476,110.00,-0.2788,0.2733,-1.0718,-7.7515,13.0005,4.3335
2026-02-13T22:53:00.062274,178.676,81.00,-0.3623,0.2258,-1.2782,1.0986,-1.6479,4.4556
2026-02-13T22:53:00.160875,178.776,98.00,-0.3505,0.0940,-1.1044,2.8076,-6.7139,4.8218
2026-02-13T22:53:00.261043,178.876,143.00,-0.2745,0.1396,-0.8940,3.9062,2.4414,7.1411
2026-02-13T22:53:00.360539,178.976,211.00,0.0343,0.1278,-0.8658,-9.8877,26.2451,7.4463
2026-02-13T22:53:00.460683,179.076,277.00,-0.1249,0.1500,0.0050,-17.0288,-2.6245,-2.5635
2026-02-13T22:53:00.560772,179.176,312.00,-0.2147,0.0210,-0.8708,18.7988,15.1367,-4.3335
2026-02-13T22:53:00.661103,179.276,278.00,-0.3047,0.1768,-0.9720,-2.1973,15.0146,7.8735
2026-02-13T22:53:00.760739,179.376,210.00,-0.4032,0.1169,-0.8173,-14.1602,20.1416,5.3101
2026-02-13T22:53:00.860916,179.476,151.00,-0.3839,0.1853,-1.1458,6.4697,-4.7607,-8.7280
2026-02-13T22:53:00.960872,179.576,106.00,-0.4830,-0.0309,-1.3630,4.0283,-16.6016,-4.3945
2026-02-13T22:53:01.061026,179.676,79.00,-0.4901,0.1813,-1.3208,5.7373,-5.9814,2.5635
2026-02-13T22:53:01.160875,179.776,101.00,-0.4136,0.0662,-0.9862,-0.0610,-3.6011,-0.2441
2026-02-13T22:53:01.261127,179.876,156.00,-0.2406,0.1084,-0.8678,7.8735,-10.3149,-1.0986
2026-02-13T22:53:01.360810,179.976,216.00,-0.0699,0.1302,-0.8176,-1.2817,-4.2114,5.1270
2026-02-13T22:53:01.461098,180.076,274.00,-0.1948,0.0363,0.0271,-9.0332,11.4136,2.4414
2026-02-13T22:53:01.560932,180.176,290.00,-0.1975,0.1124,-0.8175,0.7935,25.0244,-2.1362
2026-02-13T22:53:01.661064,180.276,238.00,-0.3998,0.1210,-0.9847,-5.3711,13.6108,5.0049
